Timp,CPU%,Memorie%,Disk%,DiskIO,Net_RX/Net_TX,Top_CPU,Top_MEM,Cronjobs,Porturi,Procese_root,Fisiere_modificate,Pachete_noi,Status_nginx
2025-07-07 10:35:03,0,11.82,66%,,"2848967 574610","   1859 cinnamon        94.1;   2130 firefox-bin     19.3;   1295 Xorg             8.6;|   2130 firefox-bin      3.6;   1859 cinnamon         2.4;   2426 Isolated Web Co  2.2;",23,3,187,"passwd hosts ","",NU_RULEAZA
2025-07-07 10:36:33,0,12.19,66%,0,"3703811 681482","   1859 cinnamon        92.6;   2130 firefox-bin     15.9;   2426 Isolated Web Co  8.4;|   2130 firefox-bin      3.6;   2426 Isolated Web Co  2.6;   1859 cinnamon         2.4;",25,3,187,"passwd hosts ","",NU_RULEAZA
2025-07-07 10:36:48,0,11.91,66%,0,"3704682 681977","   1859 cinnamon        87.9;   2130 firefox-bin     15.1;   2426 Isolated Web Co  7.9;|   2130 firefox-bin      3.6;   1859 cinnamon         2.4;   2426 Isolated Web Co  2.3;",27,3,193,"passwd shadow hosts ","",NU_RULEAZA
2025-07-07 10:39:18,0,12.08,66%,0,"3800753 871075","   1859 cinnamon        82.2;   2130 firefox-bin     13.3;   2426 Isolated Web Co  8.2;|   2130 firefox-bin      3.7;   1859 cinnamon         2.4;   2426 Isolated Web Co  2.4;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 10:46:29,12,12.77,66%,0,"3985073 1262049","   1859 cinnamon        67.3;   2130 firefox-bin     10.7;   2426 Isolated Web Co  7.6;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  2.8;   1859 cinnamon         2.4;",25,3,176,"OK","",NU_RULEAZA
2025-07-07 10:47:30,13,13.20,66%,0,"4050949 1382859","   1859 cinnamon        67.3;   2130 firefox-bin     10.5;   2426 Isolated Web Co  7.9;|   2130 firefox-bin      3.9;   2426 Isolated Web Co  3.1;   1859 cinnamon         2.4;",25,3,176,"OK","",NU_RULEAZA
2025-07-07 10:50:33,65,13.92,66%,0,"4118735 1564300","   1859 cinnamon        65.8;   2130 firefox-bin     10.1;   2426 Isolated Web Co  8.0;|   2426 Isolated Web Co  4.0;   2130 firefox-bin      4.0;   1859 cinnamon         2.4;",25,3,175,"OK","",NU_RULEAZA
2025-07-07 10:50:49,9,14.14,66%,0,"4121334 1577493","   1859 cinnamon        66.4;   2130 firefox-bin     10.2;   2426 Isolated Web Co  8.0;|   2426 Isolated Web Co  4.0;   2130 firefox-bin      4.0;   1859 cinnamon         2.5;",25,3,176,"OK","",NU_RULEAZA
2025-07-07 10:51:50,1,13.23,66%,0,"4169216 1701959","   1859 cinnamon        65.6;   2130 firefox-bin     10.2;   2426 Isolated Web Co  8.2;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.0;   1859 cinnamon         2.5;",25,3,175,"OK","",NU_RULEAZA
2025-07-07 10:52:51,0,13.18,66%,0,"4172331 1705740","   1859 cinnamon        62.4;   2130 firefox-bin      9.7;   2426 Isolated Web Co  7.8;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.0;   1859 cinnamon         2.5;",25,3,175,"OK","",NU_RULEAZA
2025-07-07 10:53:53,0,13.19,66%,0,"4172697 1706106","   1859 cinnamon        59.6;   2130 firefox-bin      9.3;   2426 Isolated Web Co  7.5;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.0;   1859 cinnamon         2.5;",25,3,174,"OK","",NU_RULEAZA
2025-07-07 10:54:54,0,13.20,66%,0,"4173483 1706994","   1859 cinnamon        57.0;   2130 firefox-bin      8.9;   2426 Isolated Web Co  7.1;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.0;   1859 cinnamon         2.5;",25,3,174,"OK","",NU_RULEAZA
2025-07-07 10:55:55,0,13.20,66%,0,"4173979 1707154","   1859 cinnamon        54.5;   2130 firefox-bin      8.5;   2426 Isolated Web Co  6.9;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.0;   1859 cinnamon         2.5;",25,3,175,"OK","",NU_RULEAZA
2025-07-07 10:56:56,0,12.90,66%,0,"4174854 1707649","   1859 cinnamon        52.3;   2130 firefox-bin      8.2;   2426 Isolated Web Co  6.6;|   2130 firefox-bin      3.9;   2426 Isolated Web Co  2.8;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 10:57:58,0,12.90,66%,0,"4174992 1707731","   1859 cinnamon        50.3;   2130 firefox-bin      7.8;   2426 Isolated Web Co  6.4;|   2130 firefox-bin      3.9;   2426 Isolated Web Co  2.8;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 10:58:59,0,12.91,66%,0,"4174992 1707731","   1859 cinnamon        48.5;   2130 firefox-bin      7.5;   2426 Isolated Web Co  6.2;|   2130 firefox-bin      3.9;   2426 Isolated Web Co  2.8;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:00:00,21,13.29,66%,0,"4206927 1758536","   1859 cinnamon        47.7;   2130 firefox-bin      7.5;   2426 Isolated Web Co  6.2;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.2;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
